,0,1,2,3,4,5,6,7,8,9
23,6.0,4.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0
24,3.0,4.0,3.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0
25,4.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0
26,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0
27,5.0,1.0,5.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0
28,0.0,2.0,3.0,4.0,2.0,2.0,6.0,1.0,0.0,0.0
29,2.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0
30,6.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
31,3.0,2.0,3.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0
32,2.0,4.0,1.0,5.0,1.0,0.0,4.0,1.0,1.0,1.0
33,3.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,0.0,2.0
34,2.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0
35,5.0,6.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0
36,3.0,4.0,2.0,4.0,2.0,3.0,0.0,2.0,0.0,0.0
37,6.0,6.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0
38,2.0,3.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0
39,5.0,3.0,1.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0
40,2.0,2.0,4.0,1.0,1.0,3.0,4.0,1.0,2.0,0.0
41,4.0,1.0,3.0,5.0,1.0,1.0,3.0,0.0,2.0,0.0
42,3.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0
43,6.0,1.0,1.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0
44,4.0,4.0,0.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0
45,8.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0
46,1.0,3.0,3.0,5.0,2.0,3.0,1.0,1.0,0.0,1.0
47,4.0,2.0,6.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0
48,3.0,4.0,3.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0
49,4.0,3.0,5.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0
50,7.0,3.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
51,5.0,0.0,3.0,2.0,3.0,4.0,0.0,2.0,0.0,1.0
52,3.0,5.0,1.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0
53,2.0,6.0,3.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0
54,3.0,1.0,3.0,2.0,6.0,3.0,0.0,2.0,0.0,0.0
55,2.0,8.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0
56,2.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0
57,1.0,4.0,3.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0
58,4.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0
59,3.0,2.0,4.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0
60,5.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0
61,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0
62,4.0,0.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0
63,1.0,2.0,5.0,2.0,1.0,0.0,3.0,5.0,1.0,0.0
64,2.0,3.0,1.0,2.0,2.0,2.0,2.0,6.0,0.0,0.0
65,5.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0
66,1.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0
67,4.0,4.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0
68,2.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0
69,3.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
70,2.0,6.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0
71,1.0,7.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
72,5.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0
73,1.0,1.0,4.0,6.0,2.0,1.0,2.0,1.0,2.0,0.0
74,0.0,4.0,7.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0
75,3.0,4.0,3.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0
76,2.0,4.0,5.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0
77,5.0,1.0,4.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0
78,4.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0
79,5.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0
80,4.0,2.0,5.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0
81,8.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0
82,2.0,2.0,3.0,4.0,2.0,4.0,1.0,2.0,0.0,0.0
83,5.0,5.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0
84,3.0,8.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0
85,3.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0
86,4.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
87,3.0,3.0,5.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0
88,3.0,7.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0
89,3.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0
90,4.0,2.0,7.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0
91,2.0,3.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,1.0
92,5.0,7.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
93,4.0,3.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0
94,2.0,9.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
95,5.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0
96,4.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,0.0
97,4.0,4.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0
98,3.0,0.0,5.0,1.0,4.0,3.0,1.0,2.0,1.0,0.0
99,2.0,3.0,4.0,1.0,4.0,2.0,2.0,1.0,0.0,1.0
